,Time,Vertical Disp
3270,8.248347929,-0.013534067
3271,8.25087039,-0.01354761
3272,8.253392853,-0.013560726
3273,8.255914655,-0.013573103
3274,8.258436462,-0.013584673
3275,8.26095827,-0.013595434
3276,8.263480077,-0.013605246
3277,8.266001775,-0.013614089
3278,8.268523468,-0.013622069
3279,8.271045544,-0.013629097
3280,8.273567621,-0.013635062
3281,8.27608966,-0.013639912
3282,8.278611699,-0.013643761
3283,8.281133814,-0.013646781
3284,8.283655929,-0.01364909
3285,8.286177971,-0.013650778
3286,8.28870001,-0.013651724
3287,8.291222086,-0.013651907
3288,8.293744163,-0.013651213
3289,8.296265697,-0.013649697
3290,8.298787236,-0.013647534
3291,8.30130912,-0.013644653
3292,8.303831005,-0.013641075
3293,8.306352856,-0.013636793
3294,8.308874703,-0.01363177
3295,8.31139701,-0.01362608
3296,8.313919317,-0.013619706
3297,8.316441202,-0.01361274
3298,8.318963087,-0.013605372
3299,8.321485933,-0.013597821
3300,8.32400878,-0.013590306
3301,8.326531823,-0.013582878
3302,8.329054862,-0.013575589
3303,8.331577784,-0.01356838
3304,8.334100707,-0.013561279
3305,8.336624015,-0.013554375
3306,8.339147322,-0.013548062
3307,8.341670476,-0.013542877
3308,8.344193631,-0.013538946
3309,8.346715399,-0.01353632
3310,8.349237168,-0.013535258
3311,8.351759899,-0.013535974
3312,8.35428263,-0.013538427
3313,8.356805366,-0.013542518
3314,8.359328097,-0.013548005
3315,8.361850635,-0.01355482
3316,8.364373174,-0.013563113
3317,8.366894981,-0.013572879
3318,8.36941679,-0.013585137
3319,8.371938905,-0.013600152
3320,8.37446102,-0.013616243
3321,8.376983174,-0.013631923
3322,8.379505327,-0.01364652
3323,8.382027251,-0.013660018
3324,8.384549174,-0.013672728
3325,8.387071025,-0.013684887
3326,8.389592872,-0.013696755
3327,8.392113871,-0.013708585
3328,8.394634872,-0.013720682
3329,8.397156183,-0.013733492
3330,8.39967749,-0.013747091
3331,8.40219949,-0.01376132
3332,8.404721491,-0.013775715
3333,8.407243572,-0.013789753
3334,8.409765649,-0.013803118
3335,8.412288226,-0.013815624
3336,8.414810803,-0.013827333
3337,8.417332457,-0.013838274
3338,8.419854112,-0.013848554
3339,8.42237615,-0.013858445
3340,8.424898189,-0.013867966
3341,8.427420727,-0.013877037
3342,8.429943266,-0.013885653
3343,8.43246615,-0.01389387
3344,8.434989035,-0.013901469
3345,8.437511991,-0.013908189
3346,8.440034952,-0.013914132
3347,8.44255826,-0.013919356
3348,8.445081567,-0.013923987
3349,8.447604375,-0.013928179
3350,8.450127184,-0.013931929
3351,8.452649875,-0.01393515
3352,8.455172568,-0.013937665
3353,8.457695765,-0.013939412
3354,8.460218958,-0.013940399
3355,8.462741342,-0.013940403
3356,8.465263727,-0.013939263
3357,8.467786303,-0.01393705
3358,8.47030888,-0.013933874
3359,8.472831726,-0.013929973
3360,8.475354573,-0.013925662
3361,8.477877726,-0.013921054
3362,8.480400881,-0.0139164
3363,8.482923496,-0.013911778
3364,8.485446111,-0.013906845
3365,8.487968568,-0.013901374
3366,8.490491029,-0.013895301
3367,8.49301326,-0.013888661
3368,8.495535491,-0.013881443
3369,8.498058683,-0.013873781
3370,8.500581876,-0.013865925
3371,8.503104952,-0.013858254
3372,8.505628029,-0.013851081
3373,8.508150842,-0.013844684
3374,8.510673649,-0.013839206
3375,8.513195919,-0.013834718
3376,8.515718188,-0.013831327
3377,8.518240457,-0.013829021
3378,8.520762726,-0.013827921
3379,8.523284573,-0.013828066
3380,8.52580642,-0.013829423
3381,8.528329919,-0.013832127
3382,8.53085342,-0.013836145
3383,8.533376611,-0.013841196
3384,8.535899804,-0.013847044
3385,8.538423419,-0.013853577
3386,8.540947034,-0.013860702
3387,8.543471645,-0.013868285
3388,8.54599626,-0.013876279
3389,8.548519952,-0.013884444
3390,8.551043645,-0.013892573
3391,8.553567337,-0.013900649
3392,8.55609103,-0.013908566
3393,8.55861376,-0.01391618
3394,8.561136491,-0.013923492
3395,8.563658958,-0.01393068
3396,8.566181419,-0.013938008
3397,8.568703381,-0.013945538
